case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,18125,Pike County,IN,0,143,0.00359213191320294,0.0012450663887230975,0.001845187870504695,0.001170737283991787,0.00359213191320294,0.0,0.0,0.0
B0,osi_target_t01h,18127,Porter County,IN,3,143,0.0028443941332973502,0.0020169077709886363,0.0011569526519317028,0.0019224433458851047,0.0028443941332973502,0.0,0.0,0.0
B0,osi_target_t01h,18129,Posey County,IN,1,143,0.001549068323472795,0.0007237888392931268,0.0003431446119225147,0.00037631696232320026,0.001549068323472795,0.0,0.0,0.0
B0,osi_target_t01h,18131,Pulaski County,IN,0,143,0.01782139165719121,0.004153389868150477,0.045417086085657636,-0.0035083114755935564,0.01782139165719121,0.0,0.0,0.0
B0,osi_target_t01h,18133,Putnam County,IN,1,143,0.0016062527774156274,0.0006381783747674604,0.0003689468618486246,3.420072611990118e-05,0.0016062527774156274,0.0,0.0,0.0
B0,osi_target_t01h,18135,Randolph County,IN,2,143,0.0032442985537368,0.002052439929125142,0.0015051426541263528,0.0013334118579524134,0.0032442985537368,0.0,0.0,0.0
B0,osi_target_t01h,18137,Ripley County,IN,4,143,0.0037645021558769167,0.0013037919139616647,0.0020265211368690793,-0.0001498021150965679,0.0037645021558769167,0.0,0.0,0.0
B0,osi_target_t01h,18139,Rush County,IN,2,143,0.002978295843707969,0.0008842232789267504,0.0012684451969686872,-0.00042208486638313194,0.002978295843707969,0.0,0.0,0.0
B0,osi_target_t01h,18141,St. Joseph County,IN,4,143,0.0013668080904497457,0.0008699097385637586,0.00026714750292499985,0.0005269780520865399,0.0013668080904497457,0.0,0.0,0.0
B0,osi_target_t01h,18143,Scott County,IN,1,143,0.0036402685757324295,0.0016169746330473914,0.0018949724083954964,-0.0011086366106591201,0.0036402685757324295,0.0,0.0,0.0
B0,osi_target_t01h,18145,Shelby County,IN,2,143,0.0013629083552501163,0.0004942434771457368,0.0002656252434279126,-0.0001388701524405812,0.0013629083552501163,0.0,0.0,0.0
B0,osi_target_t01h,18147,Spencer County,IN,0,143,0.001723993982191274,0.0006850503968412208,0.0004250182008403369,0.0006808545926454167,0.001723993982191274,0.0,0.0,0.0
B0,osi_target_t01h,18149,Starke County,IN,4,143,0.002129913383930105,0.001175621661862525,0.0006487239362953764,0.0006352474287717275,0.002129913383930105,0.0,0.0,0.0
B0,osi_target_t01h,18151,Steuben County,IN,4,143,0.011334975925170177,0.008606132860729065,0.018372880129058813,-0.00857158041490866,0.011334975925170177,0.0,0.0,0.0
B0,osi_target_t01h,18153,Sullivan County,IN,1,143,0.0025106959682435247,0.0011496304183318824,0.0009014139770284637,0.0008836007439358265,0.0025106959682435247,0.0,0.0,0.0
B0,osi_target_t01h,18155,Switzerland County,IN,1,143,0.003991433765233848,0.0014978080611789842,0.002278210720821586,0.0014208849842559075,0.003991433765233848,0.0,0.0,0.0
B0,osi_target_t01h,18157,Tippecanoe County,IN,3,143,0.001076309222564514,0.00041963679405265645,0.00016565714058857227,0.00036509133950720203,0.001076309222564514,0.0,0.0,0.0
B0,osi_target_t01h,18159,Tipton County,IN,3,143,0.004066335996978321,0.0012820630683741906,0.002364517646966,0.0003000879944638597,0.004066335996978321,0.0,0.0,0.0
