horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t48h,safe_convex,0.01325545308228396,0.003205519423645426,4608,2,0.012997021644656546,1.9883896841370818,False
osi_target_t48h,v1.8_rule,0.004975131815818199,0.0020181512944894894,4608,3,0.004975131815818199,0.0,False
osi_target_t48h,lgbm_direct,0.00498290913178981,0.002041272071917311,4608,3,0.004975131815818199,0.15632381732848533,False
osi_target_t48h,xgboost_direct,0.005301448385056829,0.0020528019339714383,4608,3,0.004975131815818199,6.558953236196108,False
osi_target_t48h,catboost_direct,0.004898323131191314,0.001866724522801688,4608,3,0.004975131815818199,-1.5438522529729881,True
osi_target_t48h,xgboost_component,0.005167987933996661,0.001990900922250021,4608,3,0.004975131815818199,3.876402180245453,False
osi_target_t48h,catboost_component,0.00508982028549302,0.001879894086491601,4608,3,0.004975131815818199,2.305234794185229,False
osi_target_t48h,simple_average,0.004980209327799056,0.0018973507776622195,4608,3,0.004975131815818199,0.10205783824086545,False
osi_target_t48h,static_convex,0.004948583102619384,0.0019388765284251346,4608,3,0.004975131815818199,-0.5336283375327877,True
osi_target_t48h,safe_convex,0.004950587772286339,0.0019439501229463574,4608,3,0.004975131815818199,-0.49333453746538414,True
osi_target_t48h,v1.8_rule,0.006897809540513561,0.0021127583284630555,4608,4,0.006897809540513561,0.0,False
osi_target_t48h,lgbm_direct,0.007076946288214522,0.0021132699621036117,4608,4,0.006897809540513561,2.5970091903642745,False
osi_target_t48h,xgboost_direct,0.007138831209871815,0.001989870902185828,4608,4,0.006897809540513561,3.4941769259159594,False
osi_target_t48h,catboost_direct,0.007147312833813086,0.0019579731703887157,4608,4,0.006897809540513561,3.61713804700019,False
osi_target_t48h,xgboost_component,0.0068615905186806304,0.0019513416390734345,4608,4,0.006897809540513561,-0.5250800507059838,True
osi_target_t48h,catboost_component,0.006603385273245225,0.0018079216016929887,4608,4,0.006897809540513561,-4.268373395047609,True
osi_target_t48h,simple_average,0.0068830066435327,0.0018964495172484944,4608,4,0.006897809540513561,-0.21460286622757563,True
osi_target_t48h,static_convex,0.006927711667087624,0.002077727726825828,4608,4,0.006897809540513561,0.4335017718079426,False
osi_target_t48h,safe_convex,0.006919617620204382,0.002081083744850299,4608,4,0.006897809540513561,0.3161594932816536,False
